program_id,title,description,level,goal,equipment,program_length,time_per_workout,total_exercises,created,last_edit,workout_frequency,exercise_guidance
FP000001,Advanced Fitness System,"Efficient 4-day training split targeting each major muscle group twice per week.

This 14-week upper/lower split features 4 weekly sessions (2 upper body and 2 lower body), perfect for Novice, Beginner, Intermediate lifters focusing on General Fitness.

Exercise selection focuses on fundamental movement patterns that develop overall fitness, with a balanced approach to strength and conditioning. 

Program features include progressive overload mechanisms.

Weekly Schedule:
Monday: Upper Body
Tuesday: Lower Body
Thursday: Upper Body
Friday: Lower Body","[""Novice"", ""Beginner"", ""Intermediate""]","[""General Fitness""]",Full Gym,14,30,348,2025-04-30 20:00:28,2025-09-11 20:00:28,4,"## Exercise Guidance

### Volume Guidelines
- Sets per exercise: 3-5
- Repetition range: 6-12
- Rest between sets: 90-150 seconds

### Recommended Exercises
#### Upper Body Day
**Compound Movements:**
- Barbell Bench Press (Chest)
- Cable Rows (Back)

**Isolation Movements:**
- Cable Flyes (Chest)
- Chest-Supported Rows (Back)
- Cable Lateral Raises (Shoulders)
- Overhead Press (Shoulders)
- Dips (Arms)
- Skull Crushers (Arms)

#### Lower Body Day
**Compound Movements:**
- Barbell Squats
- Leg Extensions

**Isolation Movements:**
- Hack Squats
- Seated Calf Raises
- Decline Sit-Ups (Core)
- Hanging Leg Raises (Core)

### Progression Guidelines
- Use double progression: first increase reps, then increase weight
- Consider periodized approaches to break through plateaus
- Implement deload weeks every 4-6 weeks to manage fatigue
"
FP000002,Explosive Development Training,"Specialized program alternating between heavy compound lifts and higher-rep hypertrophy work.

This 4-week PHUL program combines strength and hypertrophy training over 4 weekly sessions, with 2 power days followed by 2 hypertrophy days. Suitable for Beginner, Novice, Intermediate trainees looking to improve Bodybuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include periodized intensity and volume, strategic deloads, supersets for efficiency.

Weekly Schedule:
Monday: Upper Power
Wednesday: Lower Power
Friday: Upper Hypertrophy
Saturday: Lower Hypertrophy","[""Beginner"", ""Novice"", ""Intermediate""]","[""Bodybuilding""]",Dumbbell Only,4,75,158,2024-06-29 20:00:28,2024-12-15 20:00:28,4,"## Exercise Guidance

### Volume Guidelines
- Sets per exercise: 3-5
- Repetition range: 8-12
- Rest between sets: 90-150 seconds

### Recommended Exercises
#### Upper Body Day
**Compound Movements:**
- Dumbbell Bench Press (Chest)
- Bent-Over T-Raises (Back)

**Isolation Movements:**
- Push-Ups (weighted) (Chest)
- Dumbbell Shrugs (Back)
- Front Raises (Shoulders)
- Lateral Raises (Shoulders)
- Concentration Curls (Arms)
- Diamond Push-Ups (Arms)

#### Lower Body Day
**Compound Movements:**
- Dumbbell Lunges
- Dumbbell Step-Ups

**Isolation Movements:**
- Dumbbell Sumo Squats
- Dumbbell Romanian Deadlifts
- Dumbbell V-Sits (Core)
- Renegade Rows (Core)

### Progression Guidelines
- Use double progression: first increase reps, then increase weight
- Consider periodized approaches to break through plateaus
- Implement deload weeks every 4-6 weeks to manage fatigue
"
FP000003,EliteLift,"Structured 4-day split focusing on strength for upper/lower followed by hypertrophy for upper/lower.

This 8-week PHUL program combines strength and hypertrophy training over 4 weekly sessions, with 2 power days followed by 2 hypertrophy days. Suitable for Novice, Intermediate, Advanced trainees looking to improve Powerlifting.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include supersets for efficiency, drop sets for muscle fatigue, tempo variations, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Power
Wednesday: Lower Power
Friday: Upper Hypertrophy
Saturday: Lower Hypertrophy","[""Novice"", ""Intermediate"", ""Advanced""]","[""Powerlifting""]",Garage Gym,8,45,220,2024-05-13 20:00:28,2024-09-26 20:00:28,4,"## Exercise Guidance

### Volume Guidelines
- Sets per exercise: 4-6
- Repetition range: 1-5
- Rest between sets: 120-180 seconds

### Intensity Guidelines
- Main compound lifts: 80-95% of 1RM
- Focus on progressive overload by increasing weight or reps each week

### Recommended Exercises
#### Upper Body Day
**Compound Movements:**
- Incline Dumbbell Press (Chest)
- Pendlay Rows (Back)

**Isolation Movements:**
- Floor Press (Chest)
- Pull-Ups (Back)
- Upright Rows (Shoulders)
- Z-Press (Shoulders)
- Hammer Curls (Arms)
- Skull Crushers (Arms)

#### Lower Body Day
**Compound Movements:**
- Lunges
- Barbell Squats

**Isolation Movements:**
- Goblet Squats
- Good Mornings
- GHD Sit-Ups (Core)
- Weighted Russian Twists (Core)

### Progression Guidelines
- Utilize periodization with varied intensity and volume
- Consider implementing RPE (Rate of Perceived Exertion) for autoregulation
- Plan deload weeks strategically to maximize recovery
- Consider specialized techniques like drop sets, rest-pause, or mechanical drop sets
"
FP000004,4-Day Full Body with Specialization Split,"Structured approach to hit each muscle group multiple times weekly with varied stimuli.

This 13-week Upper/Lower/Push/Pull/Legs program includes 3 training sessions per week, structured to optimize gains for Novice, Intermediate individuals pursuing Athletics.

Exercise selection focuses on functional movement patterns that transfer to athletic performance, with focus on power, speed, and mobility. 

Program features include strategic deloads, supersets for efficiency.

Weekly Schedule:
Wednesday: Training
Thursday: Training
Friday: Training","[""Novice"", ""Intermediate""]","[""Athletics""]",Dumbbell Only,13,70,241,2025-01-06 20:00:28,2025-05-15 20:00:28,4,"## Exercise Guidance

### Volume Guidelines
- Sets per exercise: 3-5
- Repetition range: 6-12
- Rest between sets: 90-150 seconds

### Recommended Exercises
#### Upper Body Day
**Compound Movements:**
- Push-Ups (weighted) (Chest)
- Dumbbell Deadlifts (Back)

**Isolation Movements:**
- Dumbbell Flyes (Chest)
- Bent-Over Y-Raises (Back)
- Seated Alternating Overhead Press (Shoulders)
- Seated Dumbbell Press (Shoulders)
- Hammer Curls (Arms)
- Dumbbell Curls (Arms)

#### Lower Body Day
**Compound Movements:**
- Dumbbell Sumo Squats
- Dumbbell Lunges

**Isolation Movements:**
- Dumbbell Step-Ups
- Single-Leg RDLs
- Weighted Crunches (Core)
- Hollow Holds (Core)

### Progression Guidelines
- Use double progression: first increase reps, then increase weight
- Consider periodized approaches to break through plateaus
- Implement deload weeks every 4-6 weeks to manage fatigue
"
FP000005,Modern General Fitness Protocol,"Train upper body twice and lower body twice per week for balanced development and recovery.

This 4-week upper/lower split features 4 weekly sessions (2 upper body and 2 lower body), perfect for Advanced, Beginner lifters focusing on Athletics.

Exercise selection focuses on functional movement patterns that transfer to athletic performance, with focus on power, speed, and mobility. 

Program features include progressive overload mechanisms, periodized intensity and volume, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Body
Tuesday: Lower Body
Thursday: Upper Body
Friday: Lower Body","[""Advanced"", ""Beginner""]","[""Athletics""]",Garage Gym,4,120,151,2025-02-02 20:00:28,2025-09-26 20:00:28,4,"## Exercise Guidance

### Volume Guidelines
- Sets per exercise: 4-6
- Repetition range: 5-12
- Rest between sets: 120-180 seconds

### Recommended Exercises
#### Upper Body Day
**Compound Movements:**
- Incline Dumbbell Press (Chest)
- Inverted Rows (Back)

**Isolation Movements:**
- Floor Press (Chest)
- Meadows Rows (Back)
- Front Raises (Shoulders)
- Seated Dumbbell Press (Shoulders)
- Barbell Curls (Arms)
- Dips (Arms)

#### Lower Body Day
**Compound Movements:**
- Bulgarian Split Squats
- Lunges

**Isolation Movements:**
- Step-Ups
- Goblet Squats
- Side Planks (Core)
- Weighted Planks (Core)

### Progression Guidelines
- Utilize periodization with varied intensity and volume
- Consider implementing RPE (Rate of Perceived Exertion) for autoregulation
- Plan deload weeks strategically to maximize recovery
- Consider specialized techniques like drop sets, rest-pause, or mechanical drop sets
"
FP000006,AlphaGrowth Plus,"Efficient 4-day training split targeting each major muscle group twice per week.

This 5-week upper/lower split features 6 weekly sessions (3 upper body and 3 lower body), perfect for Beginner lifters focusing on General Fitness.

Exercise selection focuses on fundamental movement patterns that develop overall fitness, with a balanced approach to strength and conditioning. 

Program features include autoregulation guidelines.

Weekly Schedule:
Monday: Upper Body
Tuesday: Lower Body
Wednesday: Upper Body
Thursday: Lower Body
Friday: Upper Body
Saturday: Lower Body","[""Beginner""]","[""General Fitness""]",Garage Gym,5,120,293,2025-01-26 20:00:28,2025-07-13 20:00:28,6,"## Exercise Guidance

### Volume Guidelines
- Sets per exercise: 2-3
- Repetition range: 10-15
- Rest between sets: 60-90 seconds

### Recommended Exercises
#### Upper Body Day
**Compound Movements:**
- Floor Press (Chest)
- Resistance Band Pulldowns (Back)

**Isolation Movements:**
- Incline Dumbbell Press (Chest)
- Pull-Ups (Back)
- Overhead Press (Shoulders)
- Push Press (Shoulders)
- Hammer Curls (Arms)
- Barbell Curls (Arms)

#### Lower Body Day
**Compound Movements:**
- Romanian Deadlifts
- Barbell Squats

**Isolation Movements:**
- Bulgarian Split Squats
- Good Mornings
- Side Planks (Core)
- Weighted Russian Twists (Core)

### Progression Guidelines
- Add weight when you can complete all sets at the upper rep range with good form
- Aim to increase weights by 2.5-5% every 1-2 weeks
- Focus on proper form and technique before adding weight
"
FP000007,Revolutionary Strength Training,"Focus on compound movements at the beginning of each session followed by targeted isolation work.

This 2-week upper/lower split features 4 weekly sessions (2 upper body and 2 lower body), perfect for Novice lifters focusing on Bodybuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, periodized intensity and volume, supersets for efficiency, drop sets for muscle fatigue.

Weekly Schedule:
Monday: Upper Body
Wednesday: Lower Body
Friday: Upper Body
Saturday: Lower Body","[""Novice""]","[""Bodybuilding""]",Full Gym,2,50,57,2025-06-29 20:00:28,2025-07-18 20:00:28,4,"## Exercise Guidance

### Volume Guidelines
- Sets per exercise: 3-4
- Repetition range: 8-12
- Rest between sets: 90-120 seconds

### Recommended Exercises
#### Upper Body Day
**Compound Movements:**
- Dumbbell Pullovers (Chest)
- Chest-Supported Rows (Back)

**Isolation Movements:**
- Incline Dumbbell Press (Chest)
- Barbell Deadlifts (Back)
- Lateral Raises (Shoulders)
- Reverse Pec Deck (Shoulders)
- Barbell Curls (Arms)
- Tricep Pushdowns (Arms)

#### Lower Body Day
**Compound Movements:**
- Leg Curls
- Bulgarian Split Squats

**Isolation Movements:**
- Leg Extensions
- Leg Press
- Decline Sit-Ups (Core)
- Planks (Core)

### Progression Guidelines
- Implement progressive overload by adding weight, reps, or sets
- For main lifts, add 5-10 lbs when you can complete all prescribed reps
- For accessory lifts, add 2.5-5 lbs when you can complete upper rep range
"
FP000008,Classic Powerlifting Protocol,"Structured 4-day split focusing on strength for upper/lower followed by hypertrophy for upper/lower.

This 2-week PHUL program combines strength and hypertrophy training over 4 weekly sessions, with 2 power days followed by 2 hypertrophy days. Suitable for Advanced trainees looking to improve Bodybuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, periodized intensity and volume, supersets for efficiency, drop sets for muscle fatigue.

Weekly Schedule:
Monday: Upper Power
Wednesday: Lower Power
Friday: Upper Hypertrophy
Saturday: Lower Hypertrophy","[""Advanced""]","[""Bodybuilding""]",Full Gym,2,75,66,2024-04-01 20:00:28,2025-10-21 20:00:28,4,"## Exercise Guidance

### Volume Guidelines
- Sets per exercise: 4-6
- Repetition range: 6-15
- Rest between sets: 120-180 seconds

### Recommended Exercises
#### Upper Body Day
**Compound Movements:**
- Dumbbell Pullovers (Chest)
- Face Pulls (Back)

**Isolation Movements:**
- Smith Machine Bench Press (Chest)
- Cable Rows (Back)
- Seated Dumbbell Press (Shoulders)
- Machine Shoulder Press (Shoulders)
- Tricep Pushdowns (Arms)
- Preacher Curls (Arms)

#### Lower Body Day
**Compound Movements:**
- Bulgarian Split Squats
- Leg Extensions

**Isolation Movements:**
- Leg Curls
- Romanian Deadlifts
- Cable Crunches (Core)
- Decline Sit-Ups (Core)

### Progression Guidelines
- Utilize periodization with varied intensity and volume
- Consider implementing RPE (Rate of Perceived Exertion) for autoregulation
- Plan deload weeks strategically to maximize recovery
- Consider specialized techniques like drop sets, rest-pause, or mechanical drop sets
"
FP000009,PowerForge Plus,"Structured upper/lower split allowing for high training frequency while managing fatigue.

This 2-week upper/lower split features 4 weekly sessions (2 upper body and 2 lower body), perfect for Novice lifters focusing on Strength, Muscle & Sculpting, Weight Loss.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, tempo variations, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Body
Tuesday: Lower Body
Thursday: Upper Body
Friday: Lower Body","[""Novice""]","[""Strength"", ""Muscle & Sculpting"", ""Weight Loss""]",Dumbbell Only,2,45,60,2025-08-09 20:00:28,2025-10-30 20:00:28,4,"## Exercise Guidance

### Volume Guidelines
- Sets per exercise: 3-4
- Repetition range: 5-8
- Rest between sets: 90-120 seconds

### Intensity Guidelines
- Main compound lifts: 70-80% of 1RM
- Focus on progressive overload by increasing weight or reps each week

### Recommended Exercises
#### Upper Body Day
**Compound Movements:**
- Floor Press (Chest)
- Dumbbell Pullovers (Back)

**Isolation Movements:**
- Dumbbell Bench Press (Chest)
- Bent-Over Y-Raises (Back)
- Seated Alternating Overhead Press (Shoulders)
- Arnold Press (Shoulders)
- Cross-Body Curls (Arms)
- Dumbbell Curls (Arms)

#### Lower Body Day
**Compound Movements:**
- Dumbbell Lunges
- Dumbbell Step-Ups

**Isolation Movements:**
- Dumbbell Sumo Squats
- Bulgarian Split Squats
- Renegade Rows (Core)
- Dumbbell Side Bends (Core)

### Progression Guidelines
- Implement progressive overload by adding weight, reps, or sets
- For main lifts, add 5-10 lbs when you can complete all prescribed reps
- For accessory lifts, add 2.5-5 lbs when you can complete upper rep range
"
FP000010,Revolutionary Mass System,"Maximum frequency training approach for experienced lifters.

This 8-week ULPPL program includes 3 training sessions per week, structured to optimize gains for Novice individuals pursuing Powerbuilding, Powerlifting.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include periodized intensity and volume, autoregulation guidelines.

Weekly Schedule:
Tuesday: Training
Wednesday: Training
Thursday: Training","[""Novice""]","[""Powerbuilding"", ""Powerlifting""]",Full Gym,8,75,392,2025-09-27 20:00:28,2025-10-07 20:00:28,6,"## Exercise Guidance

### Volume Guidelines
- Sets per exercise: 3-4
- Repetition range: 8-12
- Rest between sets: 90-120 seconds

### Intensity Guidelines
- Main compound lifts: 70-80% of 1RM
- Focus on progressive overload by increasing weight or reps each week

### Recommended Exercises
#### Recommended Exercises by Muscle Group
**Chest:**
- Smith Machine Bench Press
- Cable Flyes
- Incline Dumbbell Press

**Back:**
- Barbell Rows
- Chest-Supported Rows
- Pull-Ups

**Shoulders:**
- Cable Lateral Raises
- Overhead Press
- Reverse Pec Deck

**Arms:**
- Overhead Tricep Extensions
- Skull Crushers
- Dips

**Legs:**
- Hack Squats
- Barbell Squats
- Seated Calf Raises

**Core:**
- Planks
- Cable Crunches
- Hanging Windshield Wipers

### Progression Guidelines
- Implement progressive overload by adding weight, reps, or sets
- For main lifts, add 5-10 lbs when you can complete all prescribed reps
- For accessory lifts, add 2.5-5 lbs when you can complete upper rep range
"
