,program_id,title,description,level,goal,equipment,program_length,time_per_workout,total_exercises,workout_frequency,primary_level,primary_goal,training_style,intensity_score
0,FP000001,Advanced Fitness System,"Efficient 4-day training split targeting each major muscle group twice per week.

This 14-week upper/lower split features 4 weekly sessions (2 upper body and 2 lower body), perfect for Novice, Beginner, Intermediate lifters focusing on General Fitness.

Exercise selection focuses on fundamental movement patterns that develop overall fitness, with a balanced approach to strength and conditioning. 

Program features include progressive overload mechanisms.

Weekly Schedule:
Monday: Upper Body
Tuesday: Lower Body
Thursday: Upper Body
Friday: Lower Body","['Novice', 'Beginner', 'Intermediate']",['General Fitness'],Full Gym,14,30,348,4,Novice,General Fitness,Upper/Lower,5.0
1,FP000002,Explosive Development Training,"Specialized program alternating between heavy compound lifts and higher-rep hypertrophy work.

This 4-week PHUL program combines strength and hypertrophy training over 4 weekly sessions, with 2 power days followed by 2 hypertrophy days. Suitable for Beginner, Novice, Intermediate trainees looking to improve Bodybuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include periodized intensity and volume, strategic deloads, supersets for efficiency.

Weekly Schedule:
Monday: Upper Power
Wednesday: Lower Power
Friday: Upper Hypertrophy
Saturday: Lower Hypertrophy","['Beginner', 'Novice', 'Intermediate']",['Bodybuilding'],Dumbbell Only,4,75,158,4,Beginner,Bodybuilding,Other,6.0
2,FP000003,EliteLift,"Structured 4-day split focusing on strength for upper/lower followed by hypertrophy for upper/lower.

This 8-week PHUL program combines strength and hypertrophy training over 4 weekly sessions, with 2 power days followed by 2 hypertrophy days. Suitable for Novice, Intermediate, Advanced trainees looking to improve Powerlifting.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include supersets for efficiency, drop sets for muscle fatigue, tempo variations, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Power
Wednesday: Lower Power
Friday: Upper Hypertrophy
Saturday: Lower Hypertrophy","['Novice', 'Intermediate', 'Advanced']",['Powerlifting'],Garage Gym,8,45,220,4,Novice,Powerlifting,Upper/Lower,6.0
3,FP000004,4-Day Full Body with Specialization Split,"Structured approach to hit each muscle group multiple times weekly with varied stimuli.

This 13-week Upper/Lower/Push/Pull/Legs program includes 3 training sessions per week, structured to optimize gains for Novice, Intermediate individuals pursuing Athletics.

Exercise selection focuses on functional movement patterns that transfer to athletic performance, with focus on power, speed, and mobility. 

Program features include strategic deloads, supersets for efficiency.

Weekly Schedule:
Wednesday: Training
Thursday: Training
Friday: Training","['Novice', 'Intermediate']",['Athletics'],Dumbbell Only,13,70,241,4,Novice,Athletics,Upper/Lower,7.0
4,FP000005,Modern General Fitness Protocol,"Train upper body twice and lower body twice per week for balanced development and recovery.

This 4-week upper/lower split features 4 weekly sessions (2 upper body and 2 lower body), perfect for Advanced, Beginner lifters focusing on Athletics.

Exercise selection focuses on functional movement patterns that transfer to athletic performance, with focus on power, speed, and mobility. 

Program features include progressive overload mechanisms, periodized intensity and volume, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Body
Tuesday: Lower Body
Thursday: Upper Body
Friday: Lower Body","['Advanced', 'Beginner']",['Athletics'],Garage Gym,4,120,151,4,Advanced,Athletics,Upper/Lower,10.0
5,FP000006,AlphaGrowth Plus,"Efficient 4-day training split targeting each major muscle group twice per week.

This 5-week upper/lower split features 6 weekly sessions (3 upper body and 3 lower body), perfect for Beginner lifters focusing on General Fitness.

Exercise selection focuses on fundamental movement patterns that develop overall fitness, with a balanced approach to strength and conditioning. 

Program features include autoregulation guidelines.

Weekly Schedule:
Monday: Upper Body
Tuesday: Lower Body
Wednesday: Upper Body
Thursday: Lower Body
Friday: Upper Body
Saturday: Lower Body",['Beginner'],['General Fitness'],Garage Gym,5,120,293,6,Beginner,General Fitness,Upper/Lower,9.0
6,FP000007,Revolutionary Strength Training,"Focus on compound movements at the beginning of each session followed by targeted isolation work.

This 2-week upper/lower split features 4 weekly sessions (2 upper body and 2 lower body), perfect for Novice lifters focusing on Bodybuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, periodized intensity and volume, supersets for efficiency, drop sets for muscle fatigue.

Weekly Schedule:
Monday: Upper Body
Wednesday: Lower Body
Friday: Upper Body
Saturday: Lower Body",['Novice'],['Bodybuilding'],Full Gym,2,50,57,4,Novice,Bodybuilding,Upper/Lower,6.0
7,FP000008,Classic Powerlifting Protocol,"Structured 4-day split focusing on strength for upper/lower followed by hypertrophy for upper/lower.

This 2-week PHUL program combines strength and hypertrophy training over 4 weekly sessions, with 2 power days followed by 2 hypertrophy days. Suitable for Advanced trainees looking to improve Bodybuilding.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, periodized intensity and volume, supersets for efficiency, drop sets for muscle fatigue.

Weekly Schedule:
Monday: Upper Power
Wednesday: Lower Power
Friday: Upper Hypertrophy
Saturday: Lower Hypertrophy",['Advanced'],['Bodybuilding'],Full Gym,2,75,66,4,Advanced,Bodybuilding,Upper/Lower,9.0
8,FP000009,PowerForge Plus,"Structured upper/lower split allowing for high training frequency while managing fatigue.

This 2-week upper/lower split features 4 weekly sessions (2 upper body and 2 lower body), perfect for Novice lifters focusing on Strength, Muscle & Sculpting, Weight Loss.

Exercise selection focuses on a mix of compound and isolation movements with emphasis on mind-muscle connection and targeted volume for maximum hypertrophy. 

Program features include progressive overload mechanisms, tempo variations, autoregulation guidelines.

Weekly Schedule:
Monday: Upper Body
Tuesday: Lower Body
Thursday: Upper Body
Friday: Lower Body",['Novice'],"['Strength', 'Muscle & Sculpting', 'Weight Loss']",Dumbbell Only,2,45,60,4,Novice,Strength,Upper/Lower,6.0
9,FP000010,Revolutionary Mass System,"Maximum frequency training approach for experienced lifters.

This 8-week ULPPL program includes 3 training sessions per week, structured to optimize gains for Novice individuals pursuing Powerbuilding, Powerlifting.

Exercise selection focuses on key compound movements (squat, bench press, deadlift) with proper accessory work to build maximum strength and power. 

Program features include periodized intensity and volume, autoregulation guidelines.

Weekly Schedule:
Tuesday: Training
Wednesday: Training
Thursday: Training",['Novice'],"['Powerbuilding', 'Powerlifting']",Full Gym,8,75,392,6,Novice,Powerbuilding,Push/Pull/Legs,9.0
