program_id,primary_level_Advanced,primary_level_Beginner,primary_level_Intermediate,primary_level_Novice,primary_goal_Athletics,primary_goal_Bodybuilding,primary_goal_Bodyweight Fitness,primary_goal_General Fitness,primary_goal_Muscle & Sculpting,primary_goal_Powerbuilding,primary_goal_Powerlifting,primary_goal_Strength,primary_goal_Weight Loss,equipment_At Home,equipment_Dumbbell Only,equipment_Full Gym,equipment_Garage Gym,training_style_Body Part Split,training_style_Full Body,training_style_Other,training_style_Push/Pull/Legs,training_style_Upper/Lower,program_length,time_per_workout,workout_frequency,intensity_score
FP000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1845164110033095,-1.4793471709171415,-0.16065329185716526,-1.3295948210598072
FP000002,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9828105181318016,0.21097756944522897,-0.16065329185716526,-0.7692148739989163
FP000003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.11587974647775721,-0.9159055907963515,-0.16065329185716526,-0.7692148739989163
FP000004,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9677837180897984,0.02316370940496557,-0.16065329185716526,-0.20883492693802527
FP000005,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.9828105181318016,1.9013023098075996,-0.16065329185716526,1.4723049142446476
FP000006,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.7660778252182905,1.9013023098075996,1.6859362697194429,0.9119249671837567
FP000007,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.4162759039588237,-0.728091730756088,-0.16065329185716526,-0.7692148739989163
FP000008,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.4162759039588237,0.21097756944522897,-0.16065329185716526,0.9119249671837567
FP000009,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.4162759039588237,-0.9159055907963515,-0.16065329185716526,-0.7692148739989163
FP000010,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.11587974647775721,0.21097756944522897,1.6859362697194429,0.9119249671837567
